토큰A,토큰B,co,dfA,dfB,cosine,jaccard,pmi,npmi
배달,아침식사,6,45,6,0.36514837164788855,0.13333333333037037,0.4388842412332114,0.1311756656187598
단백질,아침,2,10,8,0.22360679772497896,0.1249999999921875,0.608809242675524,0.1234722519160674
배달,저녁,5,45,5,0.3333333333111111,0.11111111110864198,0.4388842412332114,0.1216146966271424
배달,가슴,3,45,3,0.25819888972493893,0.06666666666518518,0.4388842412332114,0.10099102178799681
배달,컨슈머,3,45,3,0.25819888972493893,0.06666666666518518,0.4388842412332114,0.10099102178799681
배달,지방,3,45,3,0.25819888972493893,0.06666666666518518,0.4388842412332114,0.10099102178799681
배달,맛보기,3,45,3,0.25819888972493893,0.06666666666518518,0.4388842412332114,0.10099102178799681
배달,반찬,6,45,7,0.338061701872359,0.1304347826058601,0.21649181989676347,0.06470603386482594
많다,반찬,2,14,7,0.202030508890034,0.10526315788919667,0.3160274934476781,0.06409335395745921
배달,점심,16,45,20,0.5333333333155555,0.3265306122382341,0.11695614634584935,0.06057589713030551
점심,관리,2,20,5,0.19999999998,0.08695652173534972,0.2868811477881618,0.058182200378566196
다이어트,아침,3,20,8,0.23717082449387844,0.1199999999952,0.19377174339668016,0.044588537296953654
배달,단백질,8,45,10,0.37712361661504756,0.17021276595382528,0.11695614634584935,0.03990673092632265
직장인,관리,2,22,5,0.19069251783093663,0.0799999999968,0.14937762403822702,0.030295189910087537
배달,편의점,4,45,5,0.2666666666488889,0.08695652173724008,0.11695614634584935,0.02975425125158931
많다,아침,2,14,8,0.18898223648675647,0.099999999995,0.12338241550528205,0.025023116637209932
배달,아침,6,45,8,0.3162277660001713,0.12765957446536896,0.023846741954367347,0.0071274198406243204
배달,블랙,3,45,4,0.2236067977333123,0.06521739130293006,0.023846741954367347,0.005487339507837421
점심,포케,2,20,6,0.1825741858183887,0.0833333333298611,0.023846741954367978,0.004836344003299657
점심,단백,2,20,7,0.1690308509314176,0.0799999999968,-0.19854567938208015,-0.040266934900291255
샐러드,관리,2,33,5,0.15569978882018337,0.05555555555401235,-0.43558487668292933,-0.08834071800268026
배달,많다,8,45,14,0.3187276291431399,0.15686274509496348,-0.3684706808243925,-0.1257262723962843
배달,직장인,13,45,22,0.413167121993292,0.2407407407362826,-0.3201076592629936,-0.14352688021340476
직장인,다이어트,5,22,20,0.23836564730003446,0.13513513513148284,-0.5286942810744109,-0.1465010327568447
점심,다이어트,4,20,20,0.19999999999,0.1111111111080247,-0.7131188522118382,-0.18142114086258998
점심,다이어트식단,2,20,14,0.1195228609262965,0.06249999999804688,-1.1985456793820801,-0.24307635903689911
포켓,점심,2,29,20,0.08304547985029169,0.04255319148845632,-2.249171752452048,-0.456153227899125
샐러드,점심,2,33,20,0.077849894413122,0.03921568627374087,-2.4355848766829293,-0.493959566275896
