토큰A,토큰B,B1,B2,차이(B1-B2)
샐러드,피안,0.0,0.09210999833904109,-0.09210999833904109
샐러드,유러,0.0,0.09210999833904109,-0.09210999833904109
샐러드,양산,0.0,0.09210999833904109,-0.09210999833904109
샐러드,부산,0.0,0.09210999833904109,-0.09210999833904109
샐러드,정기권,0.0,0.09210999833904109,-0.09210999833904109
새벽,대전,0.0,0.09337771336638408,-0.09337771336638408
배달,계룡,0.0,0.09337771336638408,-0.09337771336638408
샐러드,아산,0.0,0.10505060869550305,-0.10505060869550305
샐러드,데이,0.0,0.10505060869550305,-0.10505060869550305
샐러드,패키지,0.0,0.10505060869550305,-0.10505060869550305
샐러드,대전,0.0,0.10505060869550305,-0.10505060869550305
배달,포케,0.1311756656187598,0.24131232632036864,-0.11013666070160885
샐러드,세종,0.0,0.11789836566987485,-0.11789836566987485
샐러드,야채,0.0,0.11789836566987485,-0.11789836566987485
샐러드,천안,0.0,0.11789836566987485,-0.11789836566987485
샐러드,코스,0.0,0.11789836566987485,-0.11789836566987485
배달,많다,-0.1257262723962843,0.0,-0.1257262723962843
배달,가슴,0.10099102178799681,0.24131232632036864,-0.14032130453237185
배달,패키지,0.0,0.16002416025901292,-0.16002416025901292
배달,점심,0.06057589713030551,0.24131232632036864,-0.18073642919006314
점심,다이어트,-0.18142114086258998,0.0,-0.18142114086258998
새벽,세종,0.0,0.18765934666975334,-0.18765934666975334
새벽,계룡,0.0,0.1983389916389433,-0.1983389916389433
샐러드,새벽,0.0,0.22665239378504395,-0.22665239378504395
점심,다이어트식단,-0.24307635903689911,0.0,-0.24307635903689911
포켓,그린,0.7291185840144001,1.0,-0.2708814159855999
배달,아침,0.0071274198406243204,0.2832086950004655,-0.2760812751598412
배달,단백,0.0,0.2832086950004655,-0.2832086950004655
배달,식스,0.0,0.2832086950004655,-0.2832086950004655
배달,정기권,0.0,0.2832086950004655,-0.2832086950004655
직장인,단백질,0.47786754942365656,0.782053688337859,-0.3041861389142025
