token1,token2,co_docs,PMI,NPMI,PHI,src_node_df,src_node_tf,src_node_cluster,src_node_centrality,src_node_svd_c1,src_node_rank,dst_node_df,dst_node_tf,dst_node_cluster,dst_node_centrality,dst_node_svd_c1,dst_node_rank
닭요리,하림닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,3,14.112828877327424,0.612553526114295,0.17876733872437262,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
닭가슴살도시락,닭가슴살레시피,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,3,14.112828877327424,0.7299769545473334,0.2326616654153842,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
cookstagram,yummyfood,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
cookstagram,예쁜상차림kimchi,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
레시피밑반찬,yummyfood,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
밑반찬레시피,yummyfood,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
단백질식단,근육량늘리기,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,11,8,24.01867594722771,0.4625910363790372,0.8640637055986686,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
닭요리,닭가슴살레시피,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,3,14.112828877327424,0.612553526114295,0.17876733872437262,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
레시피밑반찬,예쁜상차림kimchi,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
큐브닭가슴살,하림닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,11,3,14.612240696267518,0.7212570983596022,0.3265227600594875,5,5,3,14.63345165346789,0.6324527545633932,0.18365653130451004
단백질식단,추천메뉴,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,11,8,24.01867594722771,0.4625910363790372,0.8640637055986686,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
단백질식단,영양성분,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,11,8,24.01867594722771,0.4625910363790372,0.8640637055986686,5,5,8,24.86129603831247,0.4362471117981075,0.8071727324155873
일주일반찬,예쁜상차림kimchi,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
일주일반찬,yummyfood,5,5.102910537930527,0.9655035796920098,0.9124060088858009,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
반찬스타그램,domukgirl,11,4.329720675249302,0.9628502426808403,0.9189232418096501,13,13,6,8.049346398590949,0.23659708175315372,-0.13285448428964736,11,11,6,6.724415304122401,0.21310567689591697,-0.3172063732730134
재료는,클릭도시락,11,4.329720675249302,0.9628502426808403,0.9189232418096501,13,13,4,12.25911479713851,0.4626313066271431,0.2645937564515714,11,11,6,6.724415304122401,0.21310567689591697,-0.3172063732730134
재료는,domukgirl,11,4.329720675249302,0.9628502426808403,0.9189232418096501,13,13,4,12.25911479713851,0.4626313066271431,0.2645937564515714,11,11,6,6.724415304122401,0.21310567689591697,-0.3172063732730134
반찬스타그램,클릭도시락,11,4.329720675249302,0.9628502426808403,0.9189232418096501,13,13,6,8.049346398590949,0.23659708175315372,-0.13285448428964736,11,11,6,6.724415304122401,0.21310567689591697,-0.3172063732730134
밍키식단,식사기록,12,4.186619833001472,0.9493978391017798,0.8930500890423007,15,15,5,19.651079926473408,0.5003552646519056,0.8787588684955947,12,12,5,20.255595548065635,0.4763973785102491,0.7882387401808284
식단기록,식단공유,11,4.255612703582178,0.9463699928318897,0.8850419087974696,14,14,5,19.260838587334355,0.4860336901636399,0.8043930249878081,11,11,5,19.985702650496897,0.44887051468628797,0.7162084003488233
recipe,밑반찬레시피,6,4.815228477622958,0.9436239204137845,0.8651421548001417,8,8,9,13.240857195085683,0.1928866719408141,0.006448939773308862,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
동물복지,큐브닭가슴살,6,4.815228477622958,0.9436239204137845,0.8651421548001417,8,16,3,13.778434275697139,0.784389598344781,0.4162718966473031,6,11,3,14.612240696267518,0.7212570983596022,0.3265227600594875
recipe,cookstagram,6,4.815228477622958,0.9436239204137845,0.8651421548001417,8,8,9,13.240857195085683,0.1928866719408141,0.006448939773308862,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
recipe,레시피밑반찬,6,4.815228477622958,0.9436239204137845,0.8651421548001417,8,8,9,13.240857195085683,0.1928866719408141,0.006448939773308862,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
