token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
먹스타그램,20,20,2,7.306963699211115,0.29715814638850097,-0.24591911849630138
굽고,6,6,4,13.672380771848593,0.304505892264171,-0.24714370273316807
엄마의,6,7,3,13.535522479560559,0.2939455393517036,-0.251317397806913
무침,7,7,4,13.67181940145675,0.206149991422775,-0.2566961353001237
싶어서,9,9,4,11.84175133768943,0.3579125600529723,-0.25723470833236317
간편하게,7,7,0,12.099678037723184,0.4663637049149303,-0.2582322491290742
귀엽게,5,6,0,13.46103780520268,0.3616704020775362,-0.2609891119990777
간장,13,13,4,10.021258266560348,0.34682244982923777,-0.26101862447556856
멸치볶음,9,9,4,12.268949309406224,0.2766069838306669,-0.2615314416737123
도시락도,18,18,2,6.904311788490994,0.4721882179306574,-0.26658157727933796
하기,5,5,0,12.813054077480873,0.4773053104073276,-0.268626847864969
부드럽고,5,5,0,12.197017151628335,0.5697201872024257,-0.2734763122593593
마요네즈,8,9,4,11.971382555970433,0.34063360285721356,-0.27875693590298356
recipe,8,8,1,13.244223277862055,0.14972958570351208,-0.27945252063191317
추석,9,10,4,11.527218586622878,0.3342484095080417,-0.2804923309496895
콩나물무침,13,14,6,9.73050961632945,0.3073663659569962,-0.2895265603849168
제육볶음,7,8,4,12.651725440838732,0.2747474877727747,-0.2915501435637263
예쁜도시락,12,12,4,10.88364846885814,0.20510313099133065,-0.29396322867184366
엄마,14,17,3,9.091768858797547,0.27392072760952874,-0.29634745119075456
가고,5,5,0,13.18190443859926,0.3524697972006386,-0.2966397527676094
좋아서,6,6,4,12.117617492601479,0.4425294574872175,-0.3017368017218913
파스타,11,11,2,9.419430196684381,0.5098798622923165,-0.30186593682703444
해서,13,13,2,8.430054734327928,0.5195902219185388,-0.30287511730529004
무생채,9,10,6,10.888755521175973,0.37986201720525475,-0.30783330110128904
맛도리,6,7,4,12.380116590021963,0.3555971276040632,-0.3100896183710082
언제,8,8,4,11.762208445068524,0.32780663653396674,-0.31080152400160355
2개,7,7,6,11.299042694260667,0.47860112176571284,-0.3125183425015091
당근,12,13,2,7.890641992860111,0.6385385295136915,-0.3137123620841669
요리스타그램,10,10,2,10.018640194749285,0.45026664334902583,-0.3179215318534739
캐릭터도시락,15,15,4,9.430852001488406,0.15900147092220476,-0.3201308039154863
cookstagram,6,6,1,13.99939905407959,0.07136840199250508,-0.3264530064720097
요리영상,6,6,1,13.99939905407959,0.07136840199250508,-0.3264530064720097
밑반찬레시피,6,6,1,13.99939905407959,0.07136840199250508,-0.3264530064720097
레시피밑반찬,6,6,1,13.99939905407959,0.07136840199250508,-0.3264530064720097
일주일반찬,6,6,1,13.99939905407959,0.07136840199250508,-0.3264530064720097
23일,10,10,4,10.78019098157315,0.3029140930705954,-0.32665407197476753
신혼,6,6,4,12.299585941535458,0.3540185843273863,-0.3275334477211587
그런지,7,8,2,10.650390237843625,0.5278286081899842,-0.32827807898976163
드디어,9,10,0,10.75072429276592,0.354040271356268,-0.3296170161680433
맛도,9,9,4,11.110795394751804,0.3090441118041453,-0.33350404407070894
애호박,7,9,4,11.406146030111783,0.361980155562272,-0.3349365718764295
위한,11,11,4,9.99249474211705,0.33503901691377735,-0.33688760186195343
멸치,7,7,4,12.404214310545328,0.23466606701498965,-0.3385782885280486
냉털,9,9,4,11.07523064661411,0.30155551789670487,-0.3394883995790045
일반,6,6,5,11.821478420142896,0.403039953992883,-0.34139558492761307
전날,6,7,4,12.518620871742316,0.2592059062488485,-0.34263420126869637
밥을,9,9,4,10.910473165309813,0.32135954735121586,-0.34297040505355625
간이,6,6,4,11.8709698141715,0.3616440067992943,-0.35611741127240465
참치,7,9,4,11.711503471569081,0.2591138951492002,-0.35791371524945825
보내고,6,7,4,12.134104102763253,0.28545601754483263,-0.35964347147026265
야채,13,15,2,7.528289987208338,0.4861682433297293,-0.36354858117073074
잡곡밥,6,6,4,12.257529031619029,0.2671626549365285,-0.36930684528559987
아들,10,11,4,10.573464154937898,0.20828250940191848,-0.3734372808688629
더욱,7,8,4,11.587192723577896,0.25876958922344856,-0.37807464005238434
주말,12,13,1,8.626328767733463,0.36409737923415575,-0.3809068300475941
불고기,6,9,4,11.327903124801782,0.2987021722053323,-0.3924283814180145
예쁘게,9,9,4,11.076164575136255,0.17824207604460518,-0.39427183546056466
시금치,5,6,2,11.288059135456326,0.41984367492261776,-0.39722233903449544
떡갈비,9,10,4,10.595040742473046,0.22256894088748874,-0.39971339802348843
반찬스타그램,13,13,4,8.761677432936397,0.24468639113670348,-0.4004197015696732
보내주신,5,5,4,11.905806983548072,0.32451221594229607,-0.40427644953766895
샌드위치,15,17,4,7.452681173258276,0.2521829437655406,-0.40479056098394767
혼밥,9,9,2,10.186466930577456,0.2947401474896893,-0.4088243027978416
이번에,6,6,6,11.013292976816924,0.37999563099442185,-0.4119391961200343
몸이,7,7,4,11.113688042147587,0.28032854054884315,-0.4145432499783221
가을소풍,14,17,4,8.211234074605997,0.14204282283370384,-0.4207006057839472
오도완,8,8,4,10.682562039642768,0.2601303640813348,-0.42145035993350793
당일,7,8,4,11.032024416135872,0.2525243353009715,-0.4222697951382761
예쁜상차림kimchi,5,5,1,13.160136480669639,0.06449787280064713,-0.42636129944266743
yummyfood,5,5,1,13.160136480669639,0.06449787280064713,-0.42636129944266743
오후,10,10,2,9.284670688112305,0.32108779775174495,-0.4301398956414423
스팸,11,15,6,7.849325432903532,0.38040401699036297,-0.4336590657487452
