token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
가볍게,5,5,3,11.981916920925903,0.3152627797462861,-0.2908168437403463
멸치,7,7,3,11.416994190568612,0.2197217737838543,-0.29228616200734814
맛도,9,9,3,9.973620795506196,0.2551543997175779,-0.2939002182269678
예쁜상차림kimchi,5,5,3,13.53140290301703,0.07420310470620674,-0.29516837964997844
yummyfood,5,5,3,13.53140290301703,0.07420310470620674,-0.29516837964997844
깻잎,6,7,3,11.351849298210265,0.28006754803349976,-0.297020069323367
도시락으로도,5,5,1,11.454741803523927,0.3756471034006987,-0.2992641343024086
현미밥,6,6,3,11.632355731654863,0.25499103415603225,-0.3018920348549763
드디어,9,10,4,9.337197599568526,0.3051172148831442,-0.3020205712362717
좋아서,6,6,3,10.999093874469747,0.33530713190123207,-0.3084682877920985
간이,6,6,3,11.133959566291818,0.30920130905909865,-0.3111989317788956
무생채,9,10,5,8.885793586922775,0.3510724003194988,-0.31189286467076055
하기,5,5,4,11.061633831377412,0.4033326943825393,-0.3135228216624065
시금치,5,6,1,11.086389124840943,0.3557361554077211,-0.3210661608076378
싶어,5,5,3,11.82439646701565,0.2681837835418326,-0.3232301726546608
깊고,5,5,3,11.571568893814295,0.30245113976043575,-0.32484531609829415
간단도시락,9,9,3,9.706410585012279,0.22107001487089467,-0.3278736411574987
Lunchbox,15,15,3,7.325127332141207,0.04154636032383918,-0.33021798068614516
가성비,5,5,3,11.467410209042967,0.30153549680985287,-0.33241044850076196
국물,7,11,0,9.158420690462554,0.35983075929516783,-0.33249248530215614
가고,5,5,4,11.372209579728345,0.3125443428501931,-0.3338880604950288
domukgirl,11,11,3,8.435786124144755,0.21310567689591697,-0.33755588803044245
클릭도시락,11,11,3,8.435786124144755,0.21310567689591697,-0.33755588803044245
이번에,6,6,5,10.288195650952744,0.3767982681552416,-0.33818974643465766
상추,6,12,3,9.717566461347342,0.2957907791332767,-0.33888823507931204
엄마,14,17,0,6.284530054454907,0.1838971770032589,-0.3390176233586787
회사도시락,10,10,3,9.242162278676902,0.173445003908667,-0.34101139200311803
더욱,7,8,3,10.622271846187703,0.20183809046677403,-0.3424050075093478
파프리카,7,8,3,9.853362008561424,0.31277851766145615,-0.34423040032649943
