node,node_df,node_tf,node_cluster,node_centrality,node_svd_c1,node_rank
밑반찬,13,14,9,11.841003869075447,0.20920932495243189,0.13171324041865137
food,13,13,9,11.813923793502944,0.23357399731229614,0.12840256244058157
저녁,16,17,7,9.06154701140061,0.346783314384976,0.12264035883743159
김치,12,12,6,11.206314198864602,0.3682618342723677,0.10726299183369788
저녁메뉴,7,7,4,13.122139613326844,0.5147371465630336,0.1053208921831988
도먹걸,12,35,6,7.872136638883447,0.23402746826662676,0.10293114705153972
볶음밥,16,17,6,9.567823046074837,0.21602078752207204,0.09794526388392025
트러플,5,8,3,12.86534441159384,0.622092902125738,0.09335786939087251
도시락일기,15,15,1,9.643435236329191,0.2836292781955203,0.08108044194600164
엄마,14,17,6,10.303756857202277,0.1838971770032589,0.07862074412921861
cook,9,9,9,13.099957147752342,0.26150098931262766,0.06867742909605914
이거,10,10,7,11.138918362324365,0.463615023892314,0.06519260252932302
도시락도,18,18,7,6.6701722081217705,0.42300697551094757,0.05931407409852964
양파,9,10,6,11.736771834556645,0.41476173030833235,0.05651846989726672
cooking,10,10,9,12.677536788318996,0.20031505350272272,0.05169002387977453
큐브,5,8,3,12.471430552029766,0.5726510917847345,0.043183029380507366
크기로,5,5,3,10.805318930769742,0.9072194512910285,0.04268871117375128
운동,5,5,7,14.762520336502853,0.2941883790218936,0.0374066819188814
당근,12,13,7,8.719249969689008,0.5411296934003677,0.02569314794435168
조리,7,8,3,10.63089129933168,0.6782322038396231,0.01915726137443599
국물,7,11,6,12.015301930187526,0.35983075929516783,0.00741824700992434
recipe,8,8,9,13.240857195085683,0.1928866719408141,0.006448939773308862
배추김치,8,8,5,11.858556384145693,0.39956827864691385,0.00487101376702339
일반,6,6,4,12.834466543394184,0.41366838955858753,-0.0017037562383629481
챙겨줬어요,6,6,5,12.966624621806107,0.39233531343619316,-0.0022747701871703337
가능,13,16,2,5.7234207143887135,0.7857409141444573,-0.0052728887648273715
해서,13,13,7,8.622194937193203,0.4230916723279042,-0.007292153888755162
토마토,8,10,7,10.72788113469065,0.4652653225353426,-0.018651686091317315
콩나물무침,13,14,5,9.184228300599388,0.2820842921295356,-0.0201952021407122
워낙,5,5,4,12.835909886322142,0.45689470352834344,-0.022329802632187055
파스타,11,11,7,9.395565191722062,0.44767996252894604,-0.023183791088296164
컬러,5,6,6,13.331281285195326,0.34324403121870933,-0.02732765535231981
혼밥,9,9,7,11.322282786371892,0.30050906950649153,-0.037442485602163775
직장인점심시간,11,11,1,10.53023454283939,0.2403582864309496,-0.03917622957271297
요리스타그램,10,10,7,10.223191177983507,0.373678843356639,-0.0399736390464644
샌드위치,15,17,6,7.84497379178551,0.23237156667792572,-0.04271114467881687
두부조림,8,13,8,10.269158888754285,0.38927572887758527,-0.047720394515911924
볶아,8,8,8,10.98679083950679,0.4038848571665743,-0.05396855424333151
선선한,6,6,3,11.027300339204274,0.5736979271605471,-0.054335509226794435
끓인,9,9,6,10.933530176349844,0.3218712927429006,-0.054760012727977675
2개,7,7,5,10.84411142256225,0.49716009371642833,-0.06167849744823649
쿡스타그램,11,11,1,9.686629429675301,0.306967525450831,-0.06746039370536949
달걀,5,6,8,11.713315412232417,0.4976989285980571,-0.06931801998406767
주말,12,13,9,8.620010025939548,0.3469579944588843,-0.07035036373376828
뚝딱,5,5,8,11.870873015035551,0.49776837357195847,-0.07089790070030345
cookstagram,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
요리영상,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
밑반찬레시피,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
레시피밑반찬,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
일주일반찬,6,6,9,13.996764674629073,0.08170409637242194,-0.07297635631384065
갑자기,10,10,6,10.51341637033082,0.2569995655840166,-0.07327817905597839
그런지,7,8,7,10.762713715288573,0.4539923141925744,-0.07456616769601049
급하게,5,5,8,11.459403646457336,0.5520547304672865,-0.07468898709951123
야채,13,15,7,7.216373261104762,0.42060444458889057,-0.08130591204194512
등장할,5,5,5,13.28655255261998,0.25511994951187567,-0.08349907161098077
싸들고,6,6,3,10.183800740432828,0.6242400735349505,-0.08998669324477958
먹으니,6,6,6,11.783915894463806,0.3650422332940612,-0.09731603654723724
예쁜,7,8,6,11.507822842852235,0.28430476389877907,-0.10046409453805205
든든한,10,11,2,8.35645278098568,0.4955941747968171,-0.1016508942146657
해야,5,5,7,11.804392687570255,0.43732602389284786,-0.10327753695838529
따뜻한,16,18,2,5.158840273266334,0.42020879983615667,-0.10333658844280531
훨씬,6,6,8,9.944868124305954,0.6296030611799479,-0.10419491408639672
유부초밥,16,17,2,5.830490185443298,0.3405718198152215,-0.10563280876488389
많아서,10,10,6,9.403893314277934,0.3487005352219439,-0.10859827414020987
제대로,7,8,6,10.47871456206152,0.4222684172484202,-0.10894048511046309
좋아요,16,16,0,4.68313461297595,0.5253679317528039,-0.11346823710435755
닭가슴살을,7,7,3,9.464276659323982,0.5939353366970487,-0.11352856162354931
밥도,5,5,8,11.95481143482216,0.3793041419999464,-0.11941376862897309
메뉴로,12,13,2,5.767555020938909,0.6704508623677761,-0.12088368480553177
오후,10,10,7,9.590963325059557,0.274923749831906,-0.1294085390881212
캐릭터도시락,15,15,6,7.679910662598,0.1187162310296985,-0.13160028911938482
반찬스타그램,13,13,6,8.049346398590949,0.23659708175315372,-0.13285448428964736
과일,16,18,0,5.1341358180185415,0.3541220018426279,-0.13539228934320569
뚜껑,8,9,8,9.229985441646642,0.45684242900019184,-0.13962591014483755
파프리카,7,8,6,10.554325500250986,0.31277851766145615,-0.15391835226952474
예쁜도시락,12,12,6,8.582187518284279,0.19133111515186188,-0.1570219950262316
감성,5,8,6,11.391875190841734,0.2969797005838289,-0.15866074268173785
시금치,5,6,7,11.354892897594862,0.3557361554077211,-0.1594814600664855
도시락으로도,5,5,7,11.27536228211258,0.3756471034006987,-0.16849561755919046
진한,5,7,0,10.922661893671403,0.36902645831099984,-0.17093303301364451
멸치볶음,9,9,6,9.794335713126287,0.23679298435496238,-0.17328733464052215
예쁜상차림kimchi,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
yummyfood,5,5,9,13.157609538066396,0.07420310470620674,-0.17553125127278157
chouchouatti,5,5,5,12.095994012589458,0.22970473705328337,-0.17822610569116232
피크닉도시락,12,12,2,6.316001492267673,0.48355157655753134,-0.18100611524855661
집밥그램,12,12,6,7.872136638883447,0.23402746826662676,-0.18696383324512642
예쁘게,9,9,6,10.163608678870801,0.1482493546012808,-0.1881633843283919
무침,7,7,6,10.777113161819697,0.22031315600591553,-0.19341839592986335
매콤한,11,11,2,6.483502694961929,0.5087930914586104,-0.1983013050427785
스팸,11,15,5,6.793098131300974,0.35096168158741664,-0.19872568407901278
이번에,6,6,5,10.213488164680514,0.3767982681552416,-0.20148489059237087
냉털,9,9,6,9.033090090397913,0.2844110107894753,-0.20454197292475026
메뉴는,13,14,2,5.289514885113691,0.47096747089930013,-0.20522650116495625
버섯,9,10,6,8.920635957989212,0.2723693009600586,-0.20531030383841956
간장,13,13,6,6.334083477076851,0.3340328694817201,-0.207803307019427
Lunchbox,15,15,6,7.093886624993859,0.04154636032383918,-0.2079046108561698
멸치,7,7,6,10.520726074116423,0.2197217737838543,-0.21157727116331626
가을소풍,14,17,6,6.484483084019683,0.12339112980980592,-0.21561055737273266
더욱,7,8,6,10.34399512445928,0.20183809046677403,-0.21951134010595652
위한,11,11,6,7.662860189185445,0.27270283752437635,-0.22438000611885206
먹스타,9,9,6,9.153142441099696,0.2134157195474888,-0.2287512478774827
신혼부부,9,9,6,9.107950927065898,0.21786756789425812,-0.22986085613344087
추석,9,10,6,8.35339763256663,0.2897184680522928,-0.2369221945163808
맛도리,6,7,6,9.820768793887384,0.32560810315270655,-0.2397747144364099
아빠가,8,8,5,8.815238608329487,0.3237403808918758,-0.24225623349934908
무생채,9,10,5,7.856280325527016,0.3510724003194988,-0.24344487515886457
저녁에,9,9,6,8.062393479029184,0.3414033054169097,-0.2461069028482594
3분,5,5,6,10.647415236835467,0.29776781733410645,-0.24805039953952113
떡갈비,9,10,8,8.410024944726592,0.24738492211439583,-0.25240146367732
